level_0,address,address_norm,latitude,longitude,district,area,index
63210,"г. Москва, ул. Рязанский пр-т, д. 2Б","г. москва, улица рязанский пр-т, д. 2б",55.730487,37.738656,Нижегородский район,Юго-Восточный административный округ,43404.0
63211,"г. Москва, ул. Щукинская, д. 2","г. москва, улица щукинская, д. 2",55.809641,37.481936,район Щукино,Северо-Западный административный округ,43405.0
63212,"г. Москва, Последний пер., д. 28","г. москва, последний переулок, д. 28",55.769681,37.630625,Мещанский район,Центральный административный округ,43406.0
63213,"г. Москва, ул. Нагорная, д. 17, корп. 6","г. москва, улица нагорная, д. 17, корпус 6",55.677524,37.607709,район Котловка,Юго-Западный административный округ,43407.0
63214,"г. Тверь, ул. Крылова, д. 21","г. тверь, улица крылова, д. 21",,,,,43408.0
63215,"г. Москва, ул. Каширское ш., д. 56 корп. 1","г. москва, улица каширское шоссе, д. 56 корпус 1",55.645547,37.670726,район Москворечье-Сабурово,Южный административный округ,43409.0
63216,"г. Москва, ул. 1-я Аэропортовская, д. 5","г. москва, улица 1-я аэропортовская, д. 5",55.801425,37.535574,район Аэропорт,Северный административный округ,43410.0
63217,"г. Москва, ул. Декабристов, 38, к. 1","г. москва, улица декабристов, 38, корпус 1",55.859872,37.617015,район Отрадное,Северо-Восточный административный округ,43411.0
63218,"г. Москва, ул. Ляпидевского, д. 14, стр.1а","г. москва, улица ляпидевского, д. 14, стр1а",55.857417,37.495887,район Ховрино,Северный административный округ,43412.0
63219,"г. Москва, ул. Богданова, 52","г. москва, улица богданова, 52",55.649576,37.395383,район Солнцево,Западный административный округ,43413.0
63220,"г. Москва, ул. Брянская, д. 3","г. москва, улица брянская, д. 3",55.744054,37.56291,район Дорогомилово,Западный административный округ,43414.0
63221,"г. Москва, ул. 2-я Кабельная, д. 2, стр. 25, 26 и 37","г. москва, улица 2-я кабельная, д. 2, стр 25, 26 и 37",55.748914,37.710782,район Лефортово,Юго-Восточный административный округ,43415.0
63222,"г. Москва, ул. мкр. Родники, 13","г. москва, улица мкр. родники, 13",55.466698,37.541467,микрорайон Родники,,43416.0
63223,"г. Москва, ул. Полковая, д. 12, корп. 1","г. москва, улица полковая, д. 12, корпус 1",55.797306,37.600136,район Марьина Роща,Северо-Восточный административный округ,43417.0
63224,"г. Москва, ул. Удальцова, д. 77","г. москва, улица удальцова, д. 77",55.679428,37.497773,район Проспект Вернадского,Западный административный округ,43418.0
63225,"г. Москва, 1-й Смоленский пер., д. 17, стр. 3","г. москва, 1-й смоленский переулок, д. 17, стр 3",55.748224,37.580005,район Арбат,Центральный административный округ,43419.0
63226,"г. Москва, ул. Ямского Поля 3-я, д. 18","г. москва, улица ямского поля 3-я, д. 18",55.782491,37.580481,район Беговой,Северный административный округ,43420.0
63227,"г. Москва, ул. Новочеремушкинская, д.65, корп.1","г. москва, улица новочеремушкинская, д.65, корпус1",55.664715,37.563242,район Черёмушки,Юго-Западный административный округ,43421.0
63228,"г. Москва, ул. Ярцевская, 8","г. москва, улица ярцевская, 8",55.736138,37.410008,район Кунцево,Западный административный округ,43422.0
63229,"г. Москва, ул. Школьная, д. 11/3","г. москва, улица школьная, д. 11/3",55.745656,37.670672,Таганский район,Центральный административный округ,43423.0
63230,"г. Москва, ул. Ореховый б-р, д. 28","г. москва, улица ореховый б-р, д. 28",55.755819,37.617644,Тверской район,Центральный административный округ,43424.0
63231,"г. Москва, ул. ш. Энтузиастов, д. 11А, корп. 3","г. москва, улица шоссе энтузиастов, д. 11а, корпус 3",55.755819,37.617644,Тверской район,Центральный административный округ,43425.0
63232,"г. Москва, ул. Сенежская, 1/9","г. москва, улица сенежская, 1/9",55.859322,37.516745,Головинский район,Северный административный округ,43426.0
63233,"г. Балашиха, ул. Ситникова, д.4","г. балашиха, улица ситникова, д.4",55.789213,37.880491,микрорайон Новое Измайлово,,43427.0
63234,"г. Москва, ул. Мичуринский пр-т, д. 15А","г. москва, улица мичуринский пр-т, д. 15а",55.69662,37.510448,район Раменки,Западный административный округ,43428.0
63235,"г. Москва, ул. Новослободская, д. 65, стр. 1","г. москва, улица новослободская, д. 65, стр 1",55.788029,37.591369,Тверской район,Центральный административный округ,43429.0
63236,"г. Москва, Большой Сухаревский пер., д. 19, стр. 2","г. москва, большой сухаревский переулок, д. 19, стр 2",55.771054,37.629852,Мещанский район,Центральный административный округ,43430.0
63237,"г. Москва, ул. Лобачевского, д. 42, стр. 4","г. москва, улица лобачевского, д. 42, стр 4",55.670067,37.501824,район Проспект Вернадского,Западный административный округ,43431.0
63238,"г. Москва, ул. 1905 года, д. 7, стр. 1","г. москва, улица 1905г. ода, д. 7, стр 1",55.755819,37.617644,Тверской район,Центральный административный округ,43432.0
63239,"г. Москва, ул. Донская, д. 18/7, стр 1","г. москва, улица донская, д. 18/7, стр 1",55.72125,37.605436,район Якиманка,Центральный административный округ,43433.0
63240,"г. Москва, ул. Якорная, д. 7, корп. 1","г. москва, улица якорная, д. 7, корпус 1",55.685787,37.684182,район Нагатинский Затон,Южный административный округ,43434.0
63241,"г. Москва, ул. Кадырова, д. 4, корп. 1","г. москва, улица кадырова, д. 4, корпус 1",55.538051,37.512595,район Южное Бутово,Юго-Западный административный округ,43435.0
63242,"г. Москва, Уланский пер., д. 22, стр. 1","г. москва, уланский переулок, д. 22, стр 1",55.769221,37.640704,Красносельский район,Центральный административный округ,43436.0
63243,"г. Москва, Скарятинский пер., д. 7","г. москва, скарятинский переулок, д. 7",55.758529,37.589464,Пресненский район,Центральный административный округ,43437.0
63244,"г. Москва, ул. Борисовский пр-д, д. 15, корп. 1, стр. 2","г. москва, улица борисовский проезд, д. 15, корпус 1, стр 2",55.626436,37.725307,район Орехово-Борисово Северное,Южный административный округ,43438.0
63245,"г. Москва, ул. Долгоруковская, д. 17, стр. 1","г. москва, улица долгоруковская, д. 17, стр 1",55.774664,37.603352,Тверской район,Центральный административный округ,43439.0
63246,"г. Москва, ул. Дыбенко, д.32, корп.1","г. москва, улица дыбенко, д.32, корпус1",55.87542,37.485457,район Ховрино,Северный административный округ,43440.0
63247,"г. Москва, ул. Международная, д. 19","г. москва, улица международная, д. 19",55.74452,37.688009,Таганский район,Центральный административный округ,43441.0
63248,"г. Москва, ул. Арбат, д. 28/1, стр.1","г. москва, улица арбат, д. 28/1, стр1",55.749491,37.59083,район Арбат,Центральный административный округ,43442.0
63249,"г. Москва, ул. Миклухо-Маклая, д. 44А","г. москва, улица миклухо-маклая, д. 44а",55.637769,37.542258,район Коньково,Юго-Западный административный округ,43443.0
63250,"г. Москва, ул. пр-т Будённого, д. 18А","г. москва, улица пр-т будённого, д. 18а",55.76796,37.729206,район Соколиная Гора,Восточный административный округ,43444.0
63251,"г. Москва, ул. Сретенка, д. 9","г. москва, улица сретенка, д. 9",55.767818,37.631451,Мещанский район,Центральный административный округ,43445.0
63252,"г. Москва, ул. Николоямская, д. 7/8","г. москва, улица николоямская, д. 7/8",55.747976,37.649543,Таганский район,Центральный административный округ,43446.0
63253,"г. Москва, ул. Комсомольский пр-т, д. 17, стр. 11","г. москва, улица комсомольский пр-т, д. 17, стр 11",55.728246,37.586571,район Хамовники,Центральный административный округ,43447.0
63254,"г. Москва, ул. Россолимо, д. 11, стр. 1","г. москва, улица россолимо, д. 11, стр 1",55.734826,37.581092,район Хамовники,Центральный административный округ,43448.0
63255,"г. Москва, ул. пр-т Вернадского, д. 127","г. москва, улица пр-т вернадского, д. 127",55.653167,37.481082,район Тропарёво-Никулино,Западный административный округ,43449.0
63256,"г. Москва, ул. Варшавское ш., д. 158, корп. 1","г. москва, улица варшавское шоссе, д. 158, корпус 1",55.480954,37.445482,Ошибка,Ошибка,43450.0
