driver_number,best_lap,avg_lap,avg_st_speed,max_st_speed,avg_i1_speed,avg_i2_speed,laps_count,session_key
1,96.236,98.8960701754386,288.16,303.0,232.07142857142858,241.73684210526315,57,7953
2,96.037,100.68108928571428,302.85714285714283,328.0,230.7111111111111,247.76785714285714,56,7953
4,95.257,102.61347272727272,287.1372549019608,325.0,227.1590909090909,246.01818181818183,55,7953
10,95.068,100.19070175438597,297.98,327.0,226.60526315789474,248.6315789473684,57,7953
11,96.344,99.10640350877192,292.27450980392155,330.0,233.8918918918919,244.68421052631578,57,7953
14,96.156,99.57426315789473,301.15909090909093,328.0,227.25,246.35087719298247,57,7953
16,97.17,99.65376923076923,297.6470588235294,324.0,227.96428571428572,243.425,40,7953
18,96.546,99.85233333333332,296.94,324.0,227.72727272727272,245.0,57,7953
20,96.471,100.96132142857142,294.3125,315.0,230.7560975609756,246.83928571428572,56,7953
21,97.709,101.06505357142858,293.4,320.0,229.07692307692307,243.375,56,7953
22,96.637,100.49043859649123,304.54,323.0,228.5686274509804,252.49122807017545,57,7953
23,97.144,100.47138596491227,304.531914893617,324.0,230.55555555555554,247.08771929824562,57,7953
24,93.996,101.36876785714286,296.37254901960785,327.0,228.77272727272728,243.96428571428572,56,7953
27,96.616,101.08948214285714,296.55555555555554,328.0,230.26829268292684,248.69642857142858,56,7953
31,96.797,102.92617073170732,288.75,329.0,225.0,246.4390243902439,42,7953
44,96.546,99.79061403508771,306.1489361702128,333.0,230.46666666666667,247.1578947368421,57,7953
55,97.13,99.73963157894737,297.45238095238096,324.0,226.54761904761904,244.43859649122808,57,7953
63,97.035,99.87652631578946,302.0,325.0,227.9787234042553,249.9298245614035,57,7953
77,97.379,100.17121052631579,287.9056603773585,320.0,228.13953488372093,246.26315789473685,57,7953
81,100.691,103.29646153846154,306.53846153846155,327.0,220.76923076923077,236.07692307692307,14,7953
1,91.906,97.6102,305.84,342.0,282.2368421052632,296.88,50,7779
2,94.469,99.23126,304.02,336.0,283.57575757575756,301.84,50,7779
4,94.122,99.23248,303.8,330.0,281.54285714285714,299.52,50,7779
10,93.392,98.5978,291.68,320.0,275.5,290.58,50,7779
11,92.188,97.50492,304.72,334.0,275.6666666666667,293.5,51,7779
14,92.24,97.91977999999999,294.18,320.0,275.0,292.8,50,7779
16,93.056,98.36654,301.82,329.0,276.3666666666667,293.66,50,7779
18,95.14,97.3425625,303.5625,328.0,280.14285714285717,302.75,17,7779
20,93.374,98.79925999999999,301.82,336.0,278.95454545454544,295.2,50,7779
21,93.609,99.05293999999999,300.56,330.0,279.6585365853659,296.96,50,7779
22,93.931,98.85596,299.3,321.0,278.09090909090907,291.32,50,7779
23,95.567,104.67907407407408,298.9259259259259,334.0,274.7142857142857,284.6666666666667,28,7779
24,93.894,99.02466,303.16,329.0,277.55,295.12,50,7779
27,93.78,98.91582,302.44,336.0,280.6363636363636,295.28,50,7779
31,93.222,98.56116,291.68,316.0,276.7631578947368,290.42,50,7779
44,92.941,98.1259,297.74,326.0,277.05405405405406,296.44,50,7779
55,92.822,98.22306,299.2,333.0,278.780487804878,291.72,50,7779
63,92.433,98.02246,295.48,314.0,275.34285714285716,295.36,50,7779
77,94.384,100.10087755102042,295.3061224489796,321.0,273.8536585365854,286.40816326530614,49,7779
81,94.287,99.20508,295.84,332.0,278.4848484848485,297.9,50,7779
1,80.342,157.909,267.37254901960785,306.0,252.18367346938774,268.8448275862069,59,7787
