meeting_key,year,country_name,location,circuit_short_name,circuit_type,meeting_name
1140,2023,Bahrain,Sakhir,Sakhir,Permanent,Pre-Season Testing
1141,2023,Bahrain,Sakhir,Sakhir,Permanent,Bahrain Grand Prix
1142,2023,Saudi Arabia,Jeddah,Jeddah,Temporary - Street,Saudi Arabian Grand Prix
1143,2023,Australia,Melbourne,Melbourne,Temporary - Street,Australian Grand Prix
1207,2023,Azerbaijan,Baku,Baku,Temporary - Street,Azerbaijan Grand Prix
1208,2023,United States,Miami,Miami,Temporary - Street,Miami Grand Prix
1209,2023,Italy,Imola,Imola,Permanent,Emilia Romagna Grand Prix
1210,2023,Monaco,Monaco,Monte Carlo,Temporary - Street,Monaco Grand Prix
1211,2023,Spain,Barcelona,Catalunya,Permanent,Spanish Grand Prix
1212,2023,Canada,Montréal,Montreal,Permanent,Canadian Grand Prix
1213,2023,Austria,Spielberg,Spielberg,Permanent,Austrian Grand Prix
1214,2023,United Kingdom,Silverstone,Silverstone,Permanent,British Grand Prix
1215,2023,Hungary,Budapest,Hungaroring,Permanent,Hungarian Grand Prix
1216,2023,Belgium,Spa-Francorchamps,Spa-Francorchamps,Temporary - Road,Belgian Grand Prix
1217,2023,Netherlands,Zandvoort,Zandvoort,Permanent,Dutch Grand Prix
1218,2023,Italy,Monza,Monza,Permanent,Italian Grand Prix
1219,2023,Singapore,Marina Bay,Singapore,Temporary - Street,Singapore Grand Prix
1220,2023,Japan,Suzuka,Suzuka,Permanent,Japanese Grand Prix
1221,2023,Qatar,Lusail,Lusail,Permanent,Qatar Grand Prix
1222,2023,United States,Austin,Austin,Permanent,United States Grand Prix
1223,2023,Mexico,Mexico City,Mexico City,Permanent,Mexico City Grand Prix
1224,2023,Brazil,São Paulo,Interlagos,Permanent,São Paulo Grand Prix
1225,2023,United States,Las Vegas,Las Vegas,Temporary - Street,Las Vegas Grand Prix
1226,2023,United Arab Emirates,Yas Island,Yas Marina Circuit,Permanent,Abu Dhabi Grand Prix
1228,2024,Bahrain,Sakhir,Sakhir,Permanent,Pre-Season Testing
1229,2024,Bahrain,Sakhir,Sakhir,Permanent,Bahrain Grand Prix
1230,2024,Saudi Arabia,Jeddah,Jeddah,Temporary - Street,Saudi Arabian Grand Prix
1231,2024,Australia,Melbourne,Melbourne,Temporary - Street,Australian Grand Prix
1232,2024,Japan,Suzuka,Suzuka,Permanent,Japanese Grand Prix
1233,2024,China,Shanghai,Shanghai,Permanent,Chinese Grand Prix
1234,2024,United States,Miami,Miami,Temporary - Street,Miami Grand Prix
1235,2024,Italy,Imola,Imola,Permanent,Emilia Romagna Grand Prix
1236,2024,Monaco,Monaco,Monte Carlo,Temporary - Street,Monaco Grand Prix
1237,2024,Canada,Montréal,Montreal,Permanent,Canadian Grand Prix
1238,2024,Spain,Barcelona,Catalunya,Permanent,Spanish Grand Prix
1239,2024,Austria,Spielberg,Spielberg,Permanent,Austrian Grand Prix
1240,2024,United Kingdom,Silverstone,Silverstone,Permanent,British Grand Prix
1241,2024,Hungary,Budapest,Hungaroring,Permanent,Hungarian Grand Prix
1242,2024,Belgium,Spa-Francorchamps,Spa-Francorchamps,Temporary - Road,Belgian Grand Prix
1243,2024,Netherlands,Zandvoort,Zandvoort,Permanent,Dutch Grand Prix
1244,2024,Italy,Monza,Monza,Permanent,Italian Grand Prix
1245,2024,Azerbaijan,Baku,Baku,Temporary - Street,Azerbaijan Grand Prix
1246,2024,Singapore,Marina Bay,Singapore,Temporary - Street,Singapore Grand Prix
