session_key,meeting_key,driver_number,position,number_of_laps,dnf,dns,dsq,gap_to_leader,best_time
7768,1141,1,1.0,15,False,False,False,"[0.302, 0.221, 0.0]",89.708
7768,1141,11,2.0,15,False,False,False,"[0.486, 0.464, 0.138]",89.846
7768,1141,16,3.0,17,False,False,False,"[0.101, 0.0, 0.292]",90.0
7768,1141,55,4.0,18,False,False,False,"[0.0, 0.233, 0.446]",90.154
7768,1141,14,5.0,15,False,False,False,"[0.165, 0.363, 0.628]",90.336
7768,1141,63,6.0,15,False,False,False,"[0.064, 0.225, 0.632]",90.34
7768,1141,44,7.0,15,False,False,False,"[0.55, 0.231, 0.676]",90.384
7768,1141,18,8.0,18,False,False,False,"[0.191, 0.845, 1.128]",90.836
7768,1141,31,9.0,15,False,False,False,"[0.515, 0.632, 1.276]",90.914
7768,1141,27,10.0,17,True,False,False,"[0.211, 0.527, None]",90.809
7768,1141,4,11.0,13,False,False,False,"[0.659, 1.099, None]",91.381
7768,1141,77,12.0,12,False,False,False,"[0.511, 1.161, None]",91.443
7768,1141,24,13.0,12,False,False,False,"[0.622, 1.191, None]",91.473
7768,1141,22,14.0,15,False,False,False,"[0.407, 2.228, None]",91.4
7768,1141,23,15.0,8,True,False,False,"[0.468, None, None]",91.461
7768,1141,2,16.0,6,False,False,False,"[0.659, None, None]",91.652
7768,1141,20,17.0,6,False,False,False,"[0.899, None, None]",91.892
7768,1141,81,18.0,7,False,False,False,"[1.108, None, None]",92.101
7768,1141,21,19.0,9,False,False,False,"[1.128, None, None]",92.121
7768,1141,10,20.0,6,False,False,False,"[1.188, None, None]",92.181
7775,1142,11,1.0,18,False,False,False,"[0.483, 0.0, 0.0]",88.265
7775,1142,16,2.0,19,False,False,False,"[0.615, 0.268, 0.155]",88.42
7775,1142,14,3.0,18,False,False,False,"[0.537, 0.122, 0.465]",88.73
7775,1142,63,4.0,21,False,False,False,"[0.831, 0.497, 0.592]",88.857
7775,1142,55,5.0,24,False,False,False,"[0.65, 0.322, 0.666]",88.931
7775,1142,18,6.0,20,False,False,False,"[0.574, 0.327, 0.68]",88.945
7775,1142,31,7.0,24,False,False,False,"[0.946, 0.62, 0.813]",89.078
7775,1142,44,8.0,21,False,False,False,"[0.928, 0.739, 0.958]",89.223
7775,1142,81,9.0,23,False,False,False,"[0.945, 0.743, 0.978]",89.243
7775,1142,10,10.0,23,False,False,False,"[1.129, 0.776, 1.092]",89.357
7775,1142,27,11.0,18,False,False,False,"[0.786, 0.816, None]",89.451
7775,1142,24,12.0,18,False,False,False,"[0.893, 0.826, None]",89.461
7775,1142,20,13.0,17,False,False,False,"[0.983, 0.999, None]",89.634
7775,1142,77,14.0,18,False,False,False,"[1.168, 1.033, None]",89.668
7775,1142,1,15.0,6,False,False,False,"[0.0, 21.318, None]",88.761
7775,1142,22,16.0,10,False,False,False,"[1.178, None, None]",89.939
7775,1142,23,17.0,9,False,False,False,"[1.233, None, None]",89.994
7775,1142,21,18.0,10,False,False,False,"[1.483, None, None]",90.244
7775,1142,4,19.0,4,False,False,False,"[1.686, None, None]",90.447
7775,1142,2,,8,False,False,False,"[39.749, None, None]",128.51
7783,1143,1,1.0,24,False,False,False,"[0.0, 0.0, 0.0]",76.732
7783,1143,63,2.0,29,False,False,False,"[0.27, 0.457, 0.236]",76.968
7783,1143,44,3.0,28,False,False,False,"[0.305, 0.495, 0.372]",77.104
7783,1143,14,4.0,26,False,False,False,"[0.448, 0.227, 0.407]",77.139
7783,1143,55,5.0,28,False,False,False,"[0.544, 0.293, 0.538]",77.27
7783,1143,18,6.0,26,False,False,False,"[0.489, 0.56, 0.576]",77.308
7783,1143,16,7.0,25,False,False,False,"[0.834, 0.334, 0.637]",77.369
