iter	MultiClass
0	2.968141449
1	2.946005023
2	2.924746241
3	2.906639745
4	2.894944065
5	2.879750594
6	2.863877392
7	2.85059998
8	2.833089919
9	2.815898425
10	2.805041163
11	2.788165431
12	2.772757864
13	2.756680837
14	2.737549105
15	2.721802736
16	2.716045635
17	2.710644691
18	2.696541663
19	2.685757736
20	2.675069411
21	2.665107071
22	2.651386728
23	2.63738896
24	2.629985824
25	2.620022307
26	2.608543137
27	2.602332682
28	2.59221048
29	2.581600884
30	2.573284419
31	2.565380465
32	2.558966916
33	2.553610782
34	2.546227264
35	2.542644356
36	2.535391643
37	2.531617823
38	2.524205932
39	2.518331444
40	2.51277608
41	2.502674578
42	2.497909363
43	2.491458833
44	2.488972828
45	2.483636656
46	2.475643848
47	2.469797661
48	2.465340779
49	2.462573425
50	2.454933262
51	2.452202911
52	2.449619889
53	2.443413772
54	2.439772975
55	2.434637079
56	2.429569357
57	2.424792597
58	2.420008091
59	2.413466648
60	2.408880193
61	2.402242984
62	2.399662881
63	2.394358826
64	2.392131484
65	2.390463752
66	2.387715509
67	2.384208394
68	2.379695407
69	2.37691168
70	2.372490445
71	2.36955675
72	2.368186972
73	2.364780469
74	2.361689748
75	2.358146691
76	2.355698519
77	2.353205075
78	2.350094887
79	2.346786946
80	2.341578207
81	2.338789386
82	2.335934554
83	2.333235001
84	2.330829915
85	2.327113436
86	2.325949958
87	2.320358083
88	2.319035756
89	2.315921827
90	2.313094168
91	2.310591309
92	2.308452762
93	2.306244594
94	2.30342763
95	2.299923959
96	2.295345527
97	2.290830161
98	2.288627442
99	2.286148805
100	2.284617408
101	2.282548117
102	2.280006218
103	2.276556408
104	2.273979954
105	2.270578238
106	2.26675084
107	2.263256648
108	2.260160342
109	2.25866472
110	2.25554863
111	2.25394158
112	2.252564879
113	2.250538177
114	2.247280608
115	2.24444086
116	2.24292372
117	2.240021225
118	2.239170615
119	2.236305923
120	2.234156542
121	2.232055715
122	2.227707804
123	2.226739103
124	2.222668562
125	2.218994758
126	2.216829695
127	2.215064579
128	2.212932161
129	2.210431731
130	2.206853721
131	2.204983546
132	2.201441307
133	2.198628435
134	2.196573716
135	2.193565585
136	2.190773632
137	2.188925788
138	2.187110902
139	2.185991584
140	2.182747314
141	2.179608975
142	2.17716525
143	2.173683161
144	2.170767888
145	2.169279502
146	2.166423743
147	2.164005223
148	2.161720463
149	2.159720875
150	2.157755584
151	2.156683843
152	2.154869099
153	2.153078695
154	2.150640199
155	2.14731239
156	2.145463006
157	2.143300689
158	2.141088271
159	2.139807429
160	2.137860569
161	2.13570035
162	2.132866195
163	2.131657769
164	2.129865113
165	2.127694259
166	2.126112912
167	2.12487016
168	2.121411385
169	2.11974272
170	2.117678941
171	2.116623202
172	2.113178637
173	2.110174851
174	2.108493088
175	2.107515725
176	2.106039252
177	2.103846957
178	2.101369683
179	2.100366093
180	2.097561601
181	2.096277338
182	2.09428181
183	2.09149211
184	2.089293673
185	2.086015693
186	2.085005525
187	2.082167528
188	2.080315735
189	2.077926688
190	2.075765435
191	2.072979822
192	2.071469245
193	2.070590561
194	2.068761274
195	2.067042031
196	2.065329234
197	2.063821018
198	2.06229976
199	2.060527201
200	2.05933049
201	2.056047506
202	2.054482111
203	2.053485084
204	2.052789091
205	2.050718166
206	2.048694598
207	2.048001574
208	2.047021211
209	2.046086544
210	2.04563541
211	2.043145277
212	2.041793211
213	2.040019999
214	2.037825175
215	2.035360571
216	2.032965296
217	2.031328258
218	2.028405847
219	2.027093235
220	2.025339477
221	2.024551952
222	2.022961119
223	2.020503643
224	2.019442791
225	2.017713823
226	2.015184284
227	2.013724169
228	2.012434727
229	2.010925343
230	2.008874092
231	2.006563107
232	2.005246749
233	2.003472847
234	2.002186422
235	1.999744759
236	1.998051081
237	1.996750012
238	1.995086381
239	1.993921316
240	1.991315135
241	1.989601565
242	1.987450832
243	1.985005126
244	1.982690583
245	1.980654392
246	1.980151206
247	1.979795965
248	1.977895774
249	1.976564503
250	1.975870275
251	1.973612899
252	1.971790269
253	1.970095392
254	1.969146758
255	1.967754761
256	1.96604474
257	1.965641665
258	1.965063982
259	1.963216115
260	1.960651164
261	1.959728979
262	1.957993491
263	1.95667704
264	1.955833225
265	1.95464523
266	1.95238069
267	1.950921461
268	1.949247682
269	1.947289536
270	1.944560206
271	1.943087979
272	1.941925023
273	1.940108424
274	1.938431582
275	1.937366558
276	1.93485389
277	1.932745549
278	1.930446424
279	1.928447586
280	1.926328882
281	1.923241397
282	1.921647812
283	1.920612041
284	1.920038875
285	1.91869999
286	1.91683748
287	1.915631981
288	1.914133145
289	1.911677667
290	1.910357528
291	1.908680277
292	1.906713807
293	1.90414233
294	1.90080051
295	1.899149276
296	1.898084462
297	1.896395544
298	1.894490903
299	1.892497034
