iter	Passed	Remaining
0	3	1267
1	4	870
2	5	670
3	5	573
4	6	521
5	7	495
6	8	460
7	8	436
8	9	416
9	10	397
10	10	384
11	11	374
12	12	365
13	12	354
14	13	345
15	14	339
16	14	335
17	15	332
18	16	326
19	16	319
20	17	313
21	18	311
22	18	307
23	19	302
24	19	298
25	20	295
26	21	292
27	22	292
28	22	291
29	23	289
30	23	285
31	24	282
32	25	279
33	25	277
34	26	275
35	26	272
36	27	269
37	28	269
38	28	266
39	29	265
40	30	262
41	30	260
42	31	258
43	31	256
44	32	254
45	32	253
46	33	253
47	34	252
48	34	250
49	35	248
50	36	249
51	37	248
52	37	248
53	38	247
54	39	245
55	39	244
56	40	242
57	40	241
58	41	240
59	42	239
60	42	238
61	43	236
62	44	236
63	45	236
64	45	235
65	46	233
66	46	232
67	47	231
68	48	230
69	48	229
70	49	228
71	49	227
72	50	225
73	50	224
74	51	222
75	51	221
76	52	219
77	52	218
78	53	217
79	54	216
80	54	214
81	55	213
82	55	212
83	56	211
84	56	210
85	57	209
86	57	208
87	58	206
88	58	206
89	59	204
90	60	203
91	60	203
92	61	202
93	61	201
94	62	200
95	62	199
96	63	197
97	63	196
98	64	195
99	64	194
100	65	194
101	66	193
102	66	192
103	67	191
104	67	190
105	68	189
106	68	188
107	69	187
108	70	187
109	70	186
110	71	185
111	71	184
112	72	185
113	73	184
114	74	184
115	74	183
116	75	182
117	75	181
118	76	180
119	76	179
120	77	178
121	78	178
122	78	177
123	79	176
124	79	175
125	80	174
126	80	174
127	81	173
128	82	172
129	82	171
130	83	170
131	83	169
132	84	169
133	84	168
134	85	167
135	85	166
136	86	165
137	87	165
138	87	164
139	88	163
140	88	163
141	89	163
142	90	162
143	91	162
144	91	161
145	92	160
146	93	160
147	93	159
148	94	158
149	94	158
150	95	157
151	95	156
152	96	155
153	97	155
154	98	154
155	98	154
156	99	153
157	99	153
158	100	152
159	101	151
160	102	151
161	102	150
162	103	150
163	103	149
164	104	148
165	105	148
166	106	148
167	106	147
168	107	146
169	108	146
170	108	145
171	109	144
172	109	144
173	110	143
174	110	142
175	111	141
176	111	141
177	112	140
178	113	140
179	114	139
180	115	139
181	115	138
182	116	138
183	117	137
184	117	136
185	118	135
186	118	135
187	119	134
188	119	133
189	120	133
190	120	132
191	121	131
192	122	131
193	122	130
194	123	129
195	124	129
196	124	128
197	125	127
198	125	127
199	126	126
200	126	125
201	127	124
202	128	124
203	128	123
204	129	123
205	130	122
206	131	122
207	131	121
208	132	120
209	132	120
210	133	119
211	133	118
212	134	118
213	134	117
214	135	116
215	136	116
216	136	115
217	137	114
218	138	114
219	138	113
220	139	113
221	140	112
222	141	111
223	141	111
224	142	110
225	142	110
226	143	109
227	144	108
228	144	107
229	145	107
230	145	106
231	146	106
232	147	105
233	147	104
234	148	104
235	148	103
236	149	102
237	150	102
238	150	101
239	151	100
240	151	100
241	152	99
242	153	98
243	153	98
244	154	97
245	154	97
246	155	96
247	155	95
248	156	94
249	156	94
250	157	93
251	158	93
252	159	92
253	159	91
254	160	91
255	160	90
256	161	89
257	161	89
258	162	88
259	163	87
260	163	87
261	164	86
262	164	85
263	165	85
264	165	84
265	166	83
266	166	83
267	167	82
268	168	81
269	168	81
270	169	80
271	170	80
272	171	79
273	171	78
274	172	78
275	172	77
276	173	76
277	173	76
278	174	75
279	175	75
280	175	74
281	176	73
282	176	73
283	177	72
284	178	71
285	178	71
286	179	70
287	180	70
288	180	69
289	181	68
290	181	68
291	182	67
292	183	67
293	184	66
294	184	65
295	185	65
296	186	64
297	187	64
298	187	63
299	188	62
300	188	62
301	189	61
302	190	60
303	190	60
304	191	59
305	192	58
306	192	58
307	193	57
308	193	57
309	194	56
310	194	55
311	195	55
312	196	54
313	197	54
314	198	53
315	199	52
316	199	52
317	200	51
318	200	51
319	201	50
320	202	49
321	202	49
322	203	48
323	204	47
324	204	47
325	205	46
326	205	45
327	206	45
328	207	44
329	207	44
330	208	43
331	208	42
332	209	42
333	210	41
334	210	40
335	211	40
336	212	39
337	212	39
338	213	38
339	214	37
340	215	37
341	215	36
342	216	35
343	216	35
344	217	34
345	218	34
346	218	33
347	219	32
348	220	32
349	220	31
350	221	30
351	222	30
352	223	29
353	223	29
354	224	28
355	224	27
356	225	27
357	226	26
358	226	25
359	227	25
360	228	24
361	228	24
362	229	23
363	230	22
364	231	22
365	231	21
366	232	20
367	233	20
368	233	19
369	234	18
370	234	18
371	235	17
372	236	17
373	236	16
374	237	15
375	238	15
376	239	14
377	239	13
378	240	13
379	240	12
380	241	12
381	242	11
382	243	10
383	243	10
384	244	9
385	245	8
386	245	8
387	246	7
388	247	6
389	248	6
390	249	5
391	249	5
392	250	4
393	250	3
394	251	3
395	252	2
396	252	1
397	253	1
398	253	0
399	254	0
