,doctor_link,price,experience,rating,review_count,clinics_count,dist_center,spec,is_kids,is_adults,doctor_source,district,price_log
8,https://prodoctorov.ru/moskva/vrach/1235876-alekseeva/,7000.0,4.0,2.583333333333333,1.0,3.0,8.156834087889427,детский невролог,True,True,ProDoctorov,район Сокол,8.853808274977197
9,https://prodoctorov.ru/moskva/vrach/214710-alekseeva/,5000.0,47.0,3.354166666666667,8.0,3.0,0.9291754482346279,эндокринолог,False,True,ProDoctorov,Тверской район,8.517393171418904
16,https://docdoc.ru/doctor/Antipova_Anna_12,5500.0,4.0,3.774999999999999,0.0,2.0,1.8593091682859662,невролог,False,True,Обе платформы,Мещанский район,8.612685172875459
33,https://prodoctorov.ru/moskva/vrach/1203430-bogdanova/,2800.0,23.0,4.083333333333333,4.0,3.0,13.614476457054007,невролог,False,True,ProDoctorov,район Марьино,7.937731775260109
38,https://prodoctorov.ru/moskva/vrach/230538-bogomolova/,4900.0,39.0,3.1374999999999997,4.0,1.0,7.5055028420542245,терапевт,False,True,ProDoctorov,район Аэропорт,8.497194544909547
39,https://prodoctorov.ru/moskva/vrach/966806-vasileva/,1490.0,7.0,3.1666666666666665,2.0,2.0,4.004126908119521,акушер,False,True,ProDoctorov,Пресненский район,7.307202314764738
42,https://prodoctorov.ru/moskva/vrach/1196873-vasileva/,2950.0,11.0,2.7566666666666664,5.0,1.0,1.9384919025360723,эндокринолог,False,True,ProDoctorov,район Арбат,7.989899374942939
43,https://prodoctorov.ru/moskva/vrach/470149-vasileva/,5200.0,29.0,,0.0,2.0,14.686780628722685,функциональный диагност,False,True,ProDoctorov,район Тёплый Стан,8.556606193773073
50,https://docdoc.ru/doctor/Volkova_Natalya_47,4000.0,19.0,4.7065603826899824,23.0,3.0,13.90780646690555,эндокринолог,True,True,Обе платформы,район Ховрино,8.294299608857235
57,https://prodoctorov.ru/moskva/vrach/364338-gavrilova/,3500.0,13.0,4.0,8.0,1.0,3.7288535317524314,акушер,False,True,ProDoctorov,район Хамовники,8.160803920954665
63,https://prodoctorov.ru/moskva/vrach/217648-gerasimova/,3190.0,37.0,4.544568614175817,16.0,1.0,11.87604032797007,невролог,False,True,ProDoctorov,Бабушкинский район,8.068089626278244
72,https://prodoctorov.ru/moskva/vrach/679653-grigoreva/,2900.0,8.0,1.0416666666666663,2.0,2.0,14.878297949656165,акушер,False,True,ProDoctorov,район Северное Медведково,7.972810784121404
77,https://prodoctorov.ru/moskva/vrach/27659-guseva/,2000.0,44.0,3.3452380952380953,7.0,2.0,22.723287666065364,акушер,False,True,ProDoctorov,микрорайон Переделкино Ближнее,7.601402334583733
82,https://prodoctorov.ru/moskva/vrach/858405-denisova/,1590.0,19.0,3.9166666666666665,4.0,1.0,31.43736525197664,акушер,False,True,ProDoctorov,жилой район Новые Ватутинки,7.372118028337787
87,https://prodoctorov.ru/moskva/vrach/64468-denisova/,6400.0,32.0,5.0,48.0,1.0,14.686780628722685,гинеколог,False,True,ProDoctorov,район Тёплый Стан,8.764209507142004
99,https://prodoctorov.ru/moskva/vrach/66129-egorova/,12200.0,17.0,1.1777777777777778,3.0,2.0,9.718065506544988,терапевт,False,True,ProDoctorov,район Черёмушки,9.409273194575334
113,https://prodoctorov.ru/moskva/vrach/133705-ermakova/,5000.0,42.0,1.5277777777777777,6.0,1.0,2.561082684796663,акушер,False,True,ProDoctorov,район Якиманка,8.517393171418904
114,https://prodoctorov.ru/moskva/vrach/1171521-ermakova/,4450.0,9.0,2.5,1.0,2.0,12.447842606617684,эндокринолог,False,True,ProDoctorov,район Москворечье-Сабурово,8.400884069015854
116,https://prodoctorov.ru/moskva/vrach/756379-zaycev/,1390.0,18.0,,0.0,1.0,23.54455192918021,терапевт,False,True,ProDoctorov,микрорайон Первый Московский,7.237778191923443
119,https://prodoctorov.ru/moskva/vrach/139868-zayceva/,5800.0,33.0,3.8920742619630566,22.0,2.0,4.810285441530454,акушер,False,True,ProDoctorov,район Лефортово,8.665785595466064
123,https://prodoctorov.ru/moskva/vrach/906291-zarubina/,4600.0,24.0,4.166666666666666,6.0,2.0,15.479216818712313,акушер,False,True,ProDoctorov,район Орехово-Борисово Северное,8.434028950155469
136,https://prodoctorov.ru/moskva/vrach/1157285-ivanova/,8000.0,4.0,2.4166666666666665,1.0,1.0,3.5751521672395215,эндокринолог,False,True,ProDoctorov,Даниловский район,8.987321812850125
139,https://prodoctorov.ru/moskva/vrach/458374-ivanova/,4000.0,27.0,,0.0,2.0,8.007081284957609,эндокринолог,False,True,ProDoctorov,район Аэропорт,8.294299608857235
156,https://prodoctorov.ru/moskva/vrach/209048-ivanova/,4070.0,32.0,2.4701168969674105,30.0,2.0,9.65855340564303,акушер,False,True,ProDoctorov,район Хорошёво-Мнёвники,8.31164394850298
160,https://docdoc.ru/doctor/Ivanova_Larisa_13,2750.0,32.0,0.4749679961483611,14.0,5.0,11.311575974459231,терапевт,False,True,Обе платформы,район Проспект Вернадского,7.919719760924575
